eastings,northings,height
176592.1105,397391.5321,24.852
176598.0071,397397.6777,25.158
176605.2011,397406.2923,24.06
176602.318,397414.3497,23.898
176595.5692,397410.7799,24.598
176588.5734,397406.3583,25.83
176589.3344,397404.7841,26.301
176591.3917,397405.5445,25.911
176592.0702,397403.1294,25.963
176591.6601,397402.2048,26.002
176590.312,397401.7967,26.121
176586.7143,397400.5868,26.189
176583.7419,397399.2023,25.46
176582.4007,397400.7904,25.468
176581.1986,397402.2567,25.244
176584.5801,397405.0386,25.807
176581.2725,397401.8801,25.317
176580.2204,397401.2059,25.087
176575.4502,397397.7558,24.504
176571.1057,397404.3004,24.882
176579.0263,397409.5468,25.088
176584.4253,397412.7901,25.592
176584.4868,397412.2594,25.703
176586.4963,397412.9849,25.57
176586.8712,397413.4152,25.544
176585.5903,397414.1974,25.685
176587.4375,397415.1219,25.678
176588.3206,397415.6446,25.443
176589.8576,397416.2064,25.122
176592.2949,397417.9311,24.639
176588.5429,397426.6559,24.859
176584.8143,397425.8368,25.53
176579.9615,397425.0459,25.808
176574.4469,397424.0914,25.516
176568.4518,397422.8617,26.282
176567.6645,397420.7431,26.623
176564.7189,397421.5242,26.382
176560.4548,397420.1976,25.327
176559.5709,397419.8429,25.171
176551.4665,397417.6744,25.411
176547.6184,397416.7272,25.43
176539.0638,397414.6046,24.817
176532.9115,397413.2102,24.765
176521.1867,397410.5105,24.706
176517.809,397409.6994,24.419
176515.3975,397408.8377,24.214
176513.4348,397415.6964,24.633
176522.9377,397418.5686,25.606
176531.6222,397422.0233,25.803
176540.7187,397425.4562,25.813
176546.362,397427.6514,26.472
176555.2738,397431.2265,25.183
176562.7106,397433.6538,25.644
176572.3033,397436.553,25.338
176573.7851,397437.0388,25.069
176576.8899,397438.2126,25.522
176581.9657,397439.8691,25.419
176584.7236,397440.623,24.754
176590.7553,397442.1183,23.963
176589.084,397451.4871,23.727
176580.3934,397449.4599,24.909
176577.7236,397449.3205,25.361
176577.051,397449.9918,25.607
176576.3483,397450.7932,25.88
176574.9725,397450.7036,25.793
176574.5296,397449.2387,25.339
176568.1504,397449.5057,25.692
176565.7282,397449.9955,26.25
176564.2217,397450.0647,26.539
176561.766,397450.1155,26.366
176560.9921,397450.3844,26.206
176557.9859,397450.6944,25.885
176555.9023,397451.2178,25.661
176552.6177,397451.428,26.011
176551.1715,397451.5608,26.305
176550.4118,397451.3702,26.475
176549.2522,397451.2809,26.406
176547.7308,397452.1,26.244
176541.8257,397452.4847,25.603
176538.2844,397452.4426,25.808
176536.829,397452.7342,26.091
176535.176,397452.7764,26.109
176533.0811,397452.9393,25.882
176530.8179,397453.2553,25.601
176525.7313,397454.3266,25.6
176524.0381,397454.6514,25.633
176522.2114,397455.1854,25.818
176516.6838,397455.5177,25.327
176510.4445,397456.0373,25.565
176505.863,397456.145,25.153
176502.3652,397456.0863,24.959
176503.712,397443.8621,24.903
176511.1435,397444.3025,25.541
176518.6819,397446.9352,25.423
176528.695,397450.5927,25.36
176534.1076,397451.7788,25.955
176534.4677,397451.8056,25.738
176498.0036,397459.1728,24.827
176504.54,397459.6975,25.437
176508.7385,397459.6066,25.93
176513.9391,397458.884,25.367
176516.7088,397457.633,25.184
176518.6848,397457.9819,25.455
176527.3635,397459.0426,25.436
176528.744,397459.0769,25.419
176596.8766,397474.4257,23.682
176588.485,397474.8342,24.083
176578.6147,397474.4046,24.778
176575.6809,397474.5161,24.511
176573.3867,397474.4436,25.066
176571.542,397473.7868,25.715
176570.1359,397473.7297,26.031
176568.2512,397473.3198,25.63
176561.9979,397472.1539,25.536
176557.8213,397471.8455,25.882
176552.3208,397470.2943,26.112
176550.7054,397472.2726,26.462
176548.8315,397473.5575,26.664
176547.229,397473.2859,26.586
176549.1089,397470.6942,26.357
176542.7372,397469.0584,25.651
176537.075,397467.8508,25.821
176535.1642,397467.5038,25.993
176530.0636,397467.2078,25.637
176521.3941,397467.3297,25.847
176516.6215,397467.153,25.367
176510.0527,397467.2443,25.901
176507.3331,397467.255,25.887
176500.8879,397466.661,24.992
176497.8001,397476.0876,24.964
176506.152,397477.6338,25.892
176507.6817,397477.9428,26.254
176516.9627,397478.588,26.059
176517.2057,397477.3113,26.282
176518.3124,397476.9603,26.278
176519.2541,397479.0471,26.138
176520.1702,397479.4755,26.242
176525.5177,397479.7378,25.728
176528.2516,397479.8052,25.863
176529.6443,397479.9879,25.938
176530.6122,397480.5158,26.087
176531.6167,397481.3533,26.109
176533.2998,397479.9007,25.953
176535.489,397479.5858,25.296
176544.7348,397479.3629,26.18
176545.2319,397479.8282,26.334
176547.3873,397482.1431,26.496
176547.8498,397478.8404,26.336
176548.4068,397478.8325,26.352
176550.338,397478.682,26.078
176556.075,397478.7195,25.619
176564.9819,397478.8365,25.104
176566.7863,397479.1651,24.964
176569.5975,397478.5516,25.23
176572.2837,397478.9462,24.678
176577.1491,397477.9892,25.066
176582.6649,397475.9296,24.637
176589.6872,397474.3187,24.089
176594.3063,397481.9242,24.271
176585.3912,397484.9249,25.211
176586.9453,397487.2202,25.127
176592.4241,397488.5731,25.13
176579.7966,397489.803,24.64
176569.9919,397492.1505,24.924
176568.8954,397493.4385,25.109
176568.1314,397495.0881,25.153
176567.0311,397496.2477,25.317
176564.0613,397496.1605,25.521
176563.8847,397496.1118,25.494
176563.2341,397493.9796,25.267
176563.035,397491.0489,25.28
176564.2944,397484.2315,25.183
176568.0258,397482.8355,25.308
176567.8883,397483.3127,25.378
176567.7603,397484.9936,25.677
176567.0263,397487.9587,26.199
176566.5357,397492.0371,25.97
