eastings,northings,height
176573.2098,397350.8458,24.75
176606.3225,397392.1075,24.16
176607.931,397399.1778,24.178
176605.5396,397416.6796,23.508
176593.8055,397456.2837,23.015
176599.6531,397477.7679,23.71
176621.7323,397495.5195,23.244
176617.8267,397510.707,23.138
176624.8941,397510.1904,22.66
176626.2308,397522.1796,22.615
176625.6951,397535.0537,22.857
176620.0873,397554.7067,23.007
176603.5421,397585.7472,22.25
176589.0866,397600.7227,22.072
176557.0291,397624.2064,22.358
176532.2032,397620.4575,22.646
176521.3371,397615.5915,23.576
176479.2892,397619.0997,23.724
176439.2003,397605.9159,22.271
176438.7388,397597.4469,22.361
176450.1983,397585.8861,23.031
176443.4041,397581.5284,22.457
176448.5159,397572.4988,22.526
176466.9583,397560.4252,23.044
176463.509,397554.0106,22.956
176464.456,397550.6622,23.071
176482.2711,397526.7075,24.251
176496.8729,397466.8702,24.782
176499.8554,397443.0715,24.574
176500.4186,397417.9456,24.116
176526.6917,397400.8002,23.921
176563.989,397413.5084,25.777
176573.9049,397394.9983,24.315
176589.129,397385.2405,24.669
